Schlange Anfangs Länge,Schlange Entscheidungs Länge,Reisezeit
0,0,622.7375470887615
3,0,566.3499669962031
0,0,600.0425444361108
0,0,623.3765781270463
0,0,443.24568354631435
0,0,484.7302936605931
0,0,578.483801278699
0,0,477.37580981322884
3,0,673.5249378382834
1,0,700.8602478373301
2,0,762.9279178613039
1,0,591.5282482545933
0,0,546.7373810129069
0,0,621.0214110631713
2,0,659.8418914120282
1,0,582.8016691072364
1,0,563.2585448287075
0,0,564.9820915446303
2,0,646.873573685487
0,0,596.0726292645516
0,0,542.7286411100038
0,0,502.52636236717046
1,0,651.2442379019886
1,0,648.1524366740066
1,0,537.4098191153064
1,0,523.9111221750633
2,0,688.174961629695
0,0,633.0624703834497
2,0,778.9580778919717
0,0,592.7596165917581
0,0,547.8395082426586
0,0,496.2672602293326
1,0,657.1116706425776
0,0,617.6497821861572
2,0,665.627605970315
3,0,805.8430852819182
0,0,589.7130531921416
2,0,639.6538833415098
0,0,499.2730534778125
1,0,600.6871305826352
0,0,513.7948696411704
0,0,573.6555089778939
1,0,704.5235763604934
0,0,526.344950746729
0,0,534.8606530386783
0,0,627.5808239989522
0,0,550.1301967766084
1,0,540.550328924184
4,0,635.4942736660886
0,0,508.72163000773094
1,0,572.6431824880983
1,0,574.1766235705504
2,0,690.0769894811178
1,0,536.906110079048
0,0,537.008385736908
0,0,486.8855880284976
1,0,510.60645430510164
0,0,489.9507273745536
1,0,649.9651908060927
0,0,707.4032090835927
0,0,526.8013604568655
2,0,498.3366919954399
0,0,524.0534644033337
1,0,532.8240581524622
0,0,438.9685573004437
3,0,664.379475735605
3,0,556.867023085225
2,0,677.6388374273979
1,0,581.194237353206
2,0,585.1899337587353
1,0,664.7455825248788
0,0,507.2738323867688
0,0,569.3409943129955
1,0,628.7261898183783
0,0,676.7896899710569
0,0,513.0515136541233
0,0,661.782950254886
0,0,602.1604020585905
2,0,707.2856400378159
1,0,872.47628147656
0,0,577.8855868747681
0,0,555.5871164785589
0,0,491.25820260204677
1,0,588.0864579837487
0,0,534.3588811764371
1,0,646.0675762929211
1,0,587.3299495415579
0,0,423.552683028244
1,0,614.8730951943527
1,0,562.1359413653422
0,0,455.431000919388
3,0,662.2500490053758
0,0,527.1637849358822
2,0,576.7401845052545
0,0,612.42567183901
1,0,613.5850751083707
1,0,621.9211784841343
1,0,608.9679040236846
0,0,571.0003984705311
1,0,642.1332774051732
2,0,662.9166525480957
2,0,592.2709430071026
1,0,578.2757703152693
4,0,603.8720374500507
2,0,532.2196870178996
2,0,637.5561918130392
0,0,392.23044198781827
0,0,622.4370460940104
0,0,612.9627474025194
1,0,544.3908543262833
0,0,544.800257926861
3,0,740.1510196792208
0,0,464.93336773212917
0,0,600.5488149575649
0,0,494.945383823537
1,0,559.7118798045448
2,0,534.0132918453553
2,0,773.9930519291033
2,0,500.65204438795735
0,0,508.2829911137478
4,0,668.7027031493658
0,0,549.4467206321019
3,0,654.1059091766449
1,0,600.7940304099907
3,0,719.153940727934
0,0,682.902770294802
1,0,618.10560354375
0,0,627.7612733427484
1,0,549.5229574454606
3,0,823.4349187992867
2,0,523.7122080371246
1,0,667.0362252840088
0,0,501.9022416896724
0,0,644.2599777333642
0,0,544.3081452151819
0,0,574.2926057082766
4,0,850.3550954951545
0,0,528.4725535179202
2,0,611.9401405379767
2,0,618.8469948537434
1,0,544.8105167346096
2,0,601.8742272998409
0,0,527.4033019326057
0,0,629.5275870263262
4,0,733.3472262019998
2,0,759.8469372716384
0,0,552.6323085616854
1,0,680.8915219746509
0,0,461.92189415150534
0,0,509.8786807389747
2,0,673.8672564888132
3,0,521.752272216527
2,0,684.9072645193927
0,0,508.8727890188562
0,0,694.3090938525672
3,0,691.1408371588898
0,0,497.22749684634306
2,0,656.9144379020363
0,0,589.1689905043118
2,0,624.5973731366722
0,0,631.6507858087396
1,0,645.5119636294795
1,0,545.80773489075
0,0,564.1788479145785
0,0,578.3688715465472
1,0,488.6581118749222
0,0,570.2396677616726
2,0,762.2845733822419
0,0,476.07673274785594
0,0,559.936834230511
1,0,642.0358807414893
1,0,518.0851530483314
0,0,518.8109049759319
3,0,742.4916889314806
1,0,646.3313648738676
4,0,691.8889478645947
0,0,523.7507626154509
1,0,715.4764908973605
1,0,645.5596166908848
1,0,676.8736693416286
0,0,644.7836673211685
1,0,627.4545691149985
0,0,508.05491800198865
0,0,624.5735649382611
0,0,493.6967998276249
1,0,643.5827858927331
0,0,479.29109660592025
1,0,562.7138330788307
0,0,555.708835503647
3,0,605.5426385322085
3,0,573.0090586450063
0,0,556.3897149601997
0,0,686.9933758272992
4,0,701.5108584972218
0,0,571.034800407666
2,0,626.9012127612374
0,0,516.779431910488
4,0,748.5492647070062
1,0,702.7673427998999
1,0,623.1482510331499
3,0,725.2385973477662
0,0,464.22920618799793
0,0,648.1602054856586
4,0,607.7840114342187
1,0,612.0161390594872
3,0,574.8740267614183
0,0,568.0545226850895
6,0,802.5940809868645
1,0,562.0095812603184
1,0,559.8691666726924
0,0,771.2658290356127
1,0,639.6164432109885
2,0,567.768624738384
1,0,546.0314491598339
0,0,546.549050345639
2,0,575.0487503201092
0,0,568.3820183434464
0,0,500.9211301390547
2,0,487.9974928987933
1,0,524.5044018815271
1,0,589.9766333540995
1,0,554.9926289112447
0,0,618.2569950683474
1,0,671.4745424256928
0,0,572.148333503195
0,0,604.7159134935114
1,0,632.7513492252748
0,0,466.5490448635092
1,0,740.3507504521519
2,0,631.3512692442678
4,0,761.972845103276
1,0,625.6780894554207
0,0,616.9924859065221
0,0,469.60699216690557
1,0,617.7641782748515
0,0,610.7244037038993
1,0,581.6456214908903
0,0,615.8427603315665
0,0,674.8595623273194
3,0,672.0973663839836
5,0,778.5534033410775
0,0,699.0437592892831
0,0,606.9225553385252
0,0,559.5954147236012
2,0,741.6484100570742
2,0,546.1614402495118
0,0,733.1152241542272
0,0,701.3501327851787
4,0,538.041614138437
4,0,671.4327111669181
1,0,705.1679239568504
0,0,498.14452128107206
1,0,689.4765882326972
3,0,764.6433885321101
1,0,530.4172256268664
1,0,678.719808369889
0,0,646.6662480162258
0,0,560.1114512184852
5,0,649.3919275912851
0,0,550.0045833844088
0,0,570.6725964460225
2,0,527.6964275178641
1,0,706.0856661863545
0,0,530.3478038837566
0,0,516.2999063186082
0,0,713.4565233642855
0,0,598.4653202023841
2,0,627.5236380637451
0,0,615.7128421001852
4,0,623.0317664064378
0,0,516.7075727094343
0,0,683.4386145551873
1,0,518.7490951620166
0,0,552.3213427645534
0,0,482.0133113877286
0,0,475.94444111225823
5,0,704.5470352642567
1,0,563.1045553979743
0,0,436.1313943267983
0,0,459.2589225575027
1,0,616.0723913371431
0,0,575.9617345969157
3,0,459.2350131289686
0,0,570.5056276092328
0,0,554.2610704577276
1,0,746.3093706559939
2,0,608.1575843738809
0,0,528.0609083780964
1,0,581.1497472567127
0,0,609.2421815217832
1,0,576.6187569406718
1,0,605.1570523439535
0,0,629.122127474749
1,0,551.7168583398919
0,0,599.9025271311724
0,0,454.27671342061825
0,0,642.4901712353533
0,0,598.5896631356977
1,0,572.2156612991009
1,0,509.02574164236995
2,0,748.9202139259057
2,0,701.6177533673216
0,0,532.6287424375889
1,0,520.0158710185776
1,0,696.0647632416263
0,0,488.0933238172295
0,0,548.1032410049943
0,0,574.4465459667824
2,0,634.094317688622
1,0,654.2672167179003
1,0,537.8174373908728
0,0,533.1488579937065
1,0,538.5255370017569
1,0,618.6481496794913
0,0,433.8187278572255
1,0,659.1949230833636
0,0,512.8546728130718
3,0,672.6404793782588
0,0,572.0710909570583
0,0,659.1866209741239
0,0,521.7540159530702
2,0,578.2106782576822
0,0,619.7906922531046
3,0,499.80922361278033
0,0,694.5517513975321
1,0,558.3593810056497
0,0,465.4997342804541
0,0,631.4815474048183
0,0,570.0071715810053
0,0,568.071210638141
1,0,595.2425391482996
0,0,666.0148464241829
2,0,626.0343966021527
0,0,583.1123169784431
1,0,548.2242263857618
2,0,689.8522589317396
0,0,749.8269333158705
0,0,499.64898837310494
0,0,541.8290957982604
0,0,762.8142534321021
2,0,632.0353788316148
0,0,559.6438395078508
1,0,577.1218082554643
1,0,661.6408367510128
0,0,481.6823111534686
0,0,584.9679569534302
1,0,706.9865472272193
0,0,594.1306159200269
1,0,538.5517389430115
1,0,592.3619688893109
2,0,571.2421317908171
0,0,634.4459238801285
1,0,555.2392956250544
3,0,616.7466463239712
0,0,567.0376441735249
0,0,671.837137011994
1,0,594.4304944674757
1,0,601.474361894096
1,0,603.585671865819
0,0,548.2945195671324
0,0,534.9630464856358
1,0,676.0609512852747
0,0,483.1032135237607
0,0,775.7620768486696
5,0,678.3895783260149
0,0,546.5136329753066
1,0,602.1889730780003
1,0,691.6770379514548
0,0,542.7812341000412
0,0,561.2536411355728
1,0,587.2925159939176
0,0,545.8804739021425
0,0,613.0395658153509
1,0,518.4853817902627
0,0,627.9992139917247
2,0,786.449992190569
0,0,730.3872057568803
1,0,651.7243148555191
0,0,516.6093030083898
0,0,586.6088973140477
0,0,602.1903612403851
0,0,723.4844634039908
0,0,523.464908085167
1,0,709.1489565353945
0,0,402.1624699747092
1,0,560.5939126690264
2,0,670.283770646817
0,0,574.279758098043
0,0,477.29697039734555
0,0,437.2065605175076
1,0,584.3669933997778
1,0,834.4852390182097
2,0,592.5432456212815
1,0,454.5905580761278
0,0,521.8356476959102
0,0,487.5748495275544
1,0,579.0021867511889
1,0,580.6204404250102
0,0,632.0548026130484
1,0,555.4160888921106
3,0,665.2793658670616
1,0,695.4082179192254
1,0,801.5511496829889
0,0,646.6217483190912
1,0,631.8407387411555
2,0,589.046547723402
1,0,551.5780938820503
1,0,632.8284214215523
0,0,497.0600830012186
0,0,525.5572505867009
1,0,554.8981378837863
1,0,594.8666219680387
1,0,606.1992463438966
0,0,611.8815616525064
1,0,551.9382517396491
0,0,617.5157490840583
0,0,557.043032226622
1,0,539.9982972414784
1,0,620.6195752099416
2,0,739.6393753494383
1,0,752.6357240656848
0,0,698.4904675900649
0,0,560.379585402542
1,0,598.3453067264643
1,0,562.4660887675581
1,0,633.8202102758833
0,0,502.57317767156417
4,0,753.5181563675197
0,0,647.3744549861315
0,0,549.4810856085464
0,0,471.9552592693255
0,0,687.0477810305435
3,0,855.4838464493472
0,0,600.6755576475196
0,0,552.1123343667648
2,0,739.4608096350519
0,0,516.0869913256289
0,0,467.8733461110121
0,0,542.3648325342107
0,0,571.9650759696167
1,0,495.23782755926686
3,0,772.8385115010203
4,0,652.2683789416658
4,0,737.3567928521306
0,0,426.1663627467891
1,0,635.5583764565927
0,0,543.385929623446
2,0,513.365866422346
0,0,527.2822179093754
2,0,841.0322622805082
1,0,699.5410083100543
2,0,558.8067432453361
0,0,653.146633808474
1,0,578.7903128438314
2,0,573.9635781721787
0,0,580.2115798419698
5,0,720.6898756476886
0,0,578.3832864079171
0,0,588.2036147602026
0,0,599.409102649871
0,0,522.8645208395633
1,0,482.20375194367125
1,0,531.5040972740449
1,0,702.10570406699
4,0,708.9174850948807
6,0,746.061780620909
4,0,567.5741970849353
0,0,618.6314212266691
1,0,639.4844175020578
0,0,457.4567986731519
1,0,538.9671265322154
1,0,614.2697523557847
1,0,588.9839989773593
0,0,639.1784734915345
2,0,785.5682841050774
0,0,480.3528061586955
2,0,562.6660296262379
2,0,634.9678839016758
1,0,618.1891074955365
3,0,773.038736327573
2,0,679.1530650356901
1,0,676.3111524834422
3,0,612.1346649728595
2,0,629.7750856382751
0,0,547.2648460468149
0,0,540.604552939639
1,0,488.99148909563013
3,0,710.7879255959679
1,0,581.2007994016028
0,0,583.3754217716934
3,0,565.2075851012255
1,0,562.9379053305929
0,0,577.3637695151147
3,0,681.9724735642886
0,0,493.1130357629183
0,0,611.5259445050283
2,0,648.9734984954991
1,0,630.6806099134001
2,0,666.7221315180014
4,0,766.2254683153251
1,0,653.3545898455059
1,0,528.6750938764105
1,0,562.2561883461779
1,0,635.3820564372948
1,0,651.2293349871219
0,0,490.51731551612335
1,0,586.3761015027412
